Date,Predicted_Price,Confidence_Interval_Lower,Confidence_Interval_Upper
2024-12,71.64133122893418,71.44761515814038,71.83504729972798
2025-01,71.92230035839111,71.7533421163237,72.09125860045853
2025-02,73.8820324070166,73.74362443275074,74.02044038128246
2025-03,77.03797522959667,76.89959426142404,77.1763561977693
2025-04,80.55443261990513,80.4237733040483,80.68509193576196
2025-05,83.79457319150697,83.66403425428348,83.92511212873046
2025-06,86.47326436264302,86.3454197647174,86.60110896056864
2025-07,88.43129515422788,88.30405872033283,88.55853158812293
2025-08,89.44064354372313,89.31407462258187,89.56721246486438
2025-09,89.37851538733958,89.2527233623081,89.50430741237105
2025-10,88.6309596628098,88.50520507421176,88.75671425140784
2025-11,88.22065033012586,88.09541458554418,88.34588607470755
2025-12,89.3399700156724,89.21477219734697,89.46516783399784
2026-01,92.56880087776744,92.44379156380327,92.69381019173161
2026-02,97.44469839144267,97.31981255898161,97.56958422390373
2026-03,102.78454356880593,102.65968041073552,102.90940672687634
2026-04,107.4676689291482,107.34291720098436,107.59242065731205
2026-05,110.97990451617807,110.8551554445888,111.10465358776733
2026-06,113.30953833595595,113.184839139099,113.4342375328129
2026-07,114.4690385521344,114.34436140442678,114.59371569984204
2026-08,114.27152451621532,114.14685612565891,114.39619290677173
2026-09,112.65405591012677,112.5294122674684,112.77869955278514
2026-10,110.18248270862568,110.05783912634834,110.30712629090303
2026-11,108.10277169395522,107.97814110566613,108.22740228224431
2026-12,107.7191347166522,107.59450800700667,107.84376142629775
2027-01,109.56047406844482,109.43585034076101,109.68509779612863
2027-02,113.04730878267674,112.92269049620545,113.17192706914803
2027-03,116.93456102411437,116.80994275703414,117.05917929119461
2027-04,120.1160227494911,119.99140779137792,120.24063770760426
2027-05,122.10565944253449,121.98104511992159,122.23027376514739
2027-06,122.892476381694,122.767862999752,123.017089763636
2027-07,122.48775334763923,122.36314113004006,122.61236556523839
2027-08,120.73105131364446,120.60643913329943,120.85566349398948
2027-09,117.5851729109454,117.46056155062723,117.70978427126357
2027-10,113.59611705710086,113.47150578921688,113.72072832498483
2027-11,109.97350486897085,109.84889388091857,110.09811585702313
2027-12,108.06960535519738,107.94499460767253,108.19421610272224
2028-01,108.59568055602267,108.47106983219747,108.72029127984787
2028-02,111.19096254236138,111.06635201607553,111.31557306864723
2028-03,114.68949310790504,114.56488259259459,114.81410362321549
2028-04,117.84880755281392,117.72419711685122,117.97341798877663
2028-05,119.93983456495698,119.81522417663905,120.06444495327491
2028-06,120.78483859626976,120.66022821861355,120.90944897392598
2028-07,120.38417871910133,120.25956838767746,120.5087890505252
2028-08,118.64865235412253,118.52404202354333,118.77326268470173
2028-09,115.58004429322682,115.45543398425497,115.70465460219867
2028-10,111.70052494240917,111.5759146424062,111.82513524241214
2028-11,108.18706000997554,108.06244971399263,108.31167030595844
2028-12,106.39640552493802,106.27179523946262,106.52101581041342
2029-01,107.06349287625562,106.93888259079074,107.1881031617205
2029-02,109.8265449975188,109.70193471773176,109.95115527730583
2029-03,113.48820989040632,113.36359961219821,113.61282016861443
2029-04,116.78098367742132,116.65637340057485,116.90559395426779
2029-05,118.9850525748916,118.86044230035832,119.10966284942488
2029-06,119.95119826976588,119.82658799524663,120.07580854428514
2029-07,119.69268473380362,119.56807446072835,119.81729500687888
2029-08,118.10731564804519,117.98270537522227,118.23192592086811
2029-09,115.18095280508896,115.05634253269014,115.30556307748779
2029-10,111.43978087226242,111.315170600349,111.56439114417583
2029-11,108.07728673321071,107.95267646131482,108.2018970051066
2029-12,106.45115100982184,106.3265407382817,106.57576128136199
2030-01,107.26822781087321,107.14361753936112,107.39283808238531
2030-02,110.12886447208257,110.00425420069314,110.253474743472
2030-03,113.82035655451364,113.69574628320481,113.94496682582246
2030-04,117.09454707083205,116.96993679953374,117.21915734213036
2030-05,119.26731206099248,119.142701789752,119.39192233223297
2030-06,120.2133987938123,120.08878852254904,120.33800906507557
2030-07,119.947246797763,119.82263652652777,120.07185706899823
2030-08,118.35620291862688,118.23159264732506,118.4808131899287
2030-09,115.42055200332288,115.29594173201231,115.54516227463346
2030-10,111.6703853491581,111.54577507776867,111.79499562054752
2030-11,108.30463530809902,108.18002503658693,108.42924557961112
2030-12,106.67953146792206,106.55492119638191,106.80414173946221
2031-01,107.49385332179736,107.36924304990498,107.61846359368974
2031-02,110.34030438023365,110.2156941083255,110.4649146521418
2031-03,114.00492197800031,113.88031170559972,114.1295322504009
2031-04,117.24488757795189,117.12027730512897,117.3694978507748
2031-05,119.3839350688504,119.25932479577163,119.50854534192918
2031-06,120.30271587795141,120.17810560342515,120.42732615247768
2031-07,120.01725623695347,119.8926459624167,120.14186651149025
2031-08,118.41250254127044,118.28789226441695,118.53711281812393
2031-09,115.46488983061863,115.34027955240877,115.58950010882849
2031-10,111.70241129482929,111.57780101504225,111.82702157461632
2031-11,108.325068397613,108.20045811214636,108.44967868307963
2031-12,106.69146268007353,106.56685239459989,106.81607296554716
2032-01,107.5004634335055,107.3758531375226,107.6250737294884
2032-02,110.34109974937383,110.21648944937085,110.4657100493768
2032-03,113.99482082871509,113.87021051973973,114.11943113769046
2032-04,117.21818805753901,117.09357772695981,117.34279838811821
2032-05,119.34013648456494,119.21552615314458,119.4647468159853
2032-06,120.24860304150388,120.12399266384067,120.3732134191671
2032-07,119.96281807748167,119.83820768916024,120.0874284658031
2032-08,118.364385374269,118.2397749383063,118.48899581023171
2032-09,115.42377768579563,115.29916717048167,115.54838820110959
2032-10,111.66667761874602,111.54206709246017,111.79128814503187
2032-11,108.29616032809099,108.17154960426929,108.4207710519127
2032-12,106.67429492468061,106.54968417715575,106.79890567220546
2033-01,107.49756008856326,107.37294910051098,107.62217107661554
2033-02,110.34674231184096,110.22213104395523,110.47135357972668
2033-03,113.99646868726572,113.8718573269458,114.12108004758564
2033-04,117.2051058376094,117.08049365726086,117.32971801795793
2033-05,119.31122446502935,119.18661224742317,119.43583668263554
2033-06,120.21191169712836,120.08729831518285,120.33652507907387
2033-07,119.927915298347,119.8033009757341,120.0525296209599
2033-08,118.33591295236475,118.21129799424807,118.46052791048143
2033-09,115.40213624522546,115.27751797814874,115.52675451230219
2033-10,111.65306735364099,111.5284490671697,111.77768564011228
2033-11,108.29473952719879,108.17011579951848,108.41936325487909
2033-12,106.68878177353442,106.56415506389239,106.81340848317645
2034-01,107.52658608948165,107.40195550118905,107.65121667777426
2034-02,110.382925821802,110.25828223952291,110.5075694040811
2034-03,114.02920900449566,113.90456536184078,114.15385264715053
2034-04,117.2243715783954,117.099703187846,117.34903996894481
2034-05,119.31163774487366,119.18696059716429,119.43631489258304
2034-06,120.19697762310604,120.07227842625258,120.32167681995949
2034-07,119.91024033968148,119.78549126809222,120.03498941127074
2034-08,118.3287524413081,118.204000713139,118.4535041694772
2034-09,115.4074013614063,115.2825382033324,115.53226451948021
2034-10,111.6603222020922,111.53543636962415,111.78520803456026
2034-11,108.29666046678078,108.17165115281311,108.42166978074845
2034-12,106.69557402494597,106.57037620662403,106.8207718432679
2035-01,107.55627537833347,107.43103963375526,107.68151112291167
2035-02,110.43332607993179,110.30757149133548,110.5590806685281
2035-03,114.06861695003035,113.94282492499887,114.19440897506182
2035-04,117.2229801416859,117.09641122054809,117.3495490628237
2035-05,119.28096356377323,119.15372712987474,119.40819999767172
2035-06,120.18121768013668,120.05337308221449,120.30906227805887
2035-07,119.92772681516364,119.79718787794516,120.05826575238211
2035-08,118.33704544694606,118.20638613109257,118.46770476279956
2035-09,115.35687547851667,115.21849451033773,115.4952564466956
2035-10,111.59211448582461,111.45370651155717,111.73052246009205
2035-11,108.34352415009927,108.17456590803313,108.51248239216541
2035-12,106.87200204357913,106.67828597278533,107.06571811437293
