CalcaterraEtAl_2024_NatEner_data_ED_fig2
Region,Scenario,Variable,Year,scengroup,IMACLIM,IMAGE,WITCH,maxwacc,minwacc
Africa,CoC-reference,Onshore,2020,NDC,0.09590999999999700,0.09934655256607860,0.09491187117794870,0.09934655256607860,0.09491187117794870
Africa,CoC-reference,Onshore,2025,NDC,0.09208999999999710,0.09329377012472410,0.09339840020908920,0.09339840020908920,0.09208999999999710
Africa,CoC-reference,Onshore,2030,NDC,0.0890599999999972,0.0879274657890903,0.09167473405169140,0.09167473405169140,0.0879274657890903
Africa,CoC-reference,Onshore,2035,NDC,0.08684999999999730,0.08332829793009240,0.0902540041609653,0.0902540041609653,0.08332829793009240
Africa,CoC-reference,Onshore,2040,NDC,0.0852399999999973,0.08085592856178750,0.08941738313978680,0.08941738313978680,0.08085592856178750
Africa,CoC-reference,Onshore,2045,NDC,0.08377999999999740,0.07840903234719550,0.08869677376214130,0.08869677376214130,0.07840903234719550
Africa,CoC-reference,Onshore,2050,NDC,0.0824399999999974,0.07602457021686650,0.08804936564134940,0.08804936564134940,0.07602457021686650
Africa,CoC-reference,Onshore,2055,NDC,0.08128999999999740,0.07367559013794040,0.08746118196389090,0.08746118196389090,0.07367559013794040
Africa,CoC-reference,Onshore,2060,NDC,0.08033999999999750,0.07153431938108510,0.08692182731334870,0.08692182731334870,0.07153431938108510
Africa,CoC-reference,Onshore,2065,NDC,0.07949999999999750,0.06982492056976890,0.08641994343033580,0.08641994343033580,0.06982492056976890
Africa,CoC-reference,Onshore,2070,NDC,0.07871999999999750,0.06840958922386300,0.08594393607524910,0.08594393607524910,0.06840958922386300
Africa,CoC-reference,Onshore,2075,NDC,0.07797999999999750,0.06698892281984180,0.08549602125545320,0.08549602125545320,0.06698892281984180
Africa,CoC-reference,Onshore,2080,NDC,0.07730999999999760,0.065568053539913,0.0850769943260376,0.0850769943260376,0.065568053539913
Africa,CoC-reference,Onshore,2085,NDC,0.07669999999999760,0.06460273775257750,0.08468448714008390,0.08468448714008390,0.06460273775257750
Africa,CoC-reference,Onshore,2090,NDC,0.0761199999999976,0.06368300481137790,0.08431634511688570,0.08431634511688570,0.06368300481137790
Africa,CoC-reference,Onshore,2095,NDC,0.07557999999999760,0.06275799125380640,0.08397077418492050,0.08397077418492050,0.06275799125380640
Africa,CoC-reference,Onshore,2100,NDC,0.07507999999999760,0.062007574933548800,0.08364603771566950,0.08364603771566950,0.062007574933548800
Africa,CoC-reference,Offshore,2020,NDC,0.10179999999999700,0.10352015736507300,0.10222648927313900,0.10352015736507300,0.10179999999999700
Africa,CoC-reference,Offshore,2025,NDC,0.0927599999999977,0.10270348012630100,0.09134564531069150,0.10270348012630100,0.09134564531069150
Africa,CoC-reference,Offshore,2030,NDC,0.08539999999999790,0.09943026433000380,0.08972369823932530,0.09943026433000380,0.08539999999999790
Africa,CoC-reference,Offshore,2035,NDC,0.08107999999999800,0.0961056991963087,0.0881685503077791,0.0961056991963087,0.08107999999999800
Africa,CoC-reference,Offshore,2040,NDC,0.07881999999999810,0.09348840685557160,0.08644679983327370,0.09348840685557160,0.07881999999999810
Africa,CoC-reference,Offshore,2045,NDC,0.07708999999999810,0.09103366663397800,0.08523965422335100,0.09103366663397800,0.07708999999999810
Africa,CoC-reference,Offshore,2050,NDC,0.07548999999999810,0.08929103361285240,0.08406001725461530,0.08929103361285240,0.07548999999999810
Africa,CoC-reference,Offshore,2055,NDC,0.07415999999999820,0.08771914501733320,0.08304976664708860,0.08771914501733320,0.07415999999999820
Africa,CoC-reference,Offshore,2060,NDC,0.07310999999999820,0.08616468360947200,0.08216100962132740,0.08616468360947200,0.07310999999999820
Africa,CoC-reference,Offshore,2065,NDC,0.0722099999999982,0.08485394778273,0.0813402872304896,0.08485394778273,0.0722099999999982
Africa,CoC-reference,Offshore,2070,NDC,0.07138999999999830,0.08366196839564900,0.08063330489189690,0.08366196839564900,0.07138999999999830
Africa,CoC-reference,Offshore,2075,NDC,0.07061999999999830,0.08265647133035020,0.07991543759260650,0.08265647133035020,0.07061999999999830
Africa,CoC-reference,Offshore,2080,NDC,0.06993999999999830,0.08178974255238680,0.07920560829735360,0.08178974255238680,0.06993999999999830
Africa,CoC-reference,Offshore,2085,NDC,0.06930999999999830,0.08101337687595900,0.07857835928899320,0.08101337687595900,0.06930999999999830
Africa,CoC-reference,Offshore,2090,NDC,0.06873999999999830,0.08018869589052540,0.0775151885700033,0.08018869589052540,0.06873999999999830
Africa,CoC-reference,Offshore,2095,NDC,0.0681999999999983,0.07941618895388780,0.0745855205172208,0.07941618895388780,0.0681999999999983
Africa,CoC-reference,Offshore,2100,NDC,0.06769999999999830,0.07883688919498460,0.073152035550780900,0.07883688919498460,0.06769999999999830
Africa,CoC-reference,Nuclear,2020,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2025,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2030,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2035,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2040,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2045,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2050,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2055,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2060,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2065,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2070,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2075,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2080,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2085,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2090,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2095,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,Nuclear,2100,NDC,0.0887299999999977,0.09063467101172490,0.08822382490285560,0.09063467101172490,0.08822382490285560
Africa,CoC-reference,CCS,2020,NDC,0.09202999999999770,0.09353697969081590,0.09167852490285570,0.09353697969081590,0.09167852490285570
Africa,CoC-reference,CCS,2025,NDC,0.09200999999999770,0.09334945435488730,0.09167852490285570,0.09334945435488730,0.09167852490285570
Africa,CoC-reference,CCS,2030,NDC,0.09193999999999770,0.09332609374635630,0.09167852490285570,0.09332609374635630,0.09167852490285570
Africa,CoC-reference,CCS,2035,NDC,0.09186999999999770,0.0932292369344461,0.09167852490285570,0.0932292369344461,0.09167852490285570
Africa,CoC-reference,CCS,2040,NDC,0.09179999999999770,0.0928793185751655,0.09167852490285570,0.0928793185751655,0.09167852490285570
